index,path,action,artwork_status,transcription_status,notes
171,textures/load/spr_sprani_sumo_fe_cvt_Exst/67CE2848_512x256.dds,zoom_review,blocked_review,needs_zoom_review,
172,textures/load/spr_sprani_sumo_fe_cvt_Exst/6C9B3611_256x256.dds,zoom_review,blocked_review,needs_zoom_review,
173,textures/load/spr_sprani_sumo_fe_cvt_Exst/6DC89C6E_512x512.dds,localize_text,pending_artwork,pending_transcription,
174,textures/load/spr_sprani_sumo_fe_cvt_Exst/73F852A4_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
175,textures/load/spr_sprani_sumo_fe_cvt_Exst/754F0599_512x256.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
176,textures/load/spr_sprani_sumo_fe_cvt_Exst/75C3586A_512x512.dds,localize_text,pending_artwork,pending_transcription,
177,textures/load/spr_sprani_sumo_fe_cvt_Exst/7978907D_512x128.dds,zoom_review,blocked_review,needs_zoom_review,
178,textures/load/spr_sprani_sumo_fe_cvt_Exst/798A1E_1024x256.dds,zoom_review,blocked_review,needs_zoom_review,
180,textures/load/spr_sprani_sumo_fe_cvt_Exst/7ABD5110_1024x256.dds,zoom_review,blocked_review,needs_zoom_review,
182,textures/load/spr_sprani_sumo_fe_cvt_Exst/7D747BED_512x128.dds,localize_text,pending_artwork,pending_transcription,
188,textures/load/spr_sprani_sumo_fe_cvt_Exst/8C259C68_512x512.dds,localize_text,pending_artwork,pending_transcription,
189,textures/load/spr_sprani_sumo_fe_cvt_Exst/8C9E91F8_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
191,textures/load/spr_sprani_sumo_fe_cvt_Exst/94BB6271_512x256.dds,zoom_review,blocked_review,needs_zoom_review,
193,textures/load/spr_sprani_sumo_fe_cvt_Exst/97E863AD_512x256.dds,localize_text,pending_artwork,pending_transcription,
194,textures/load/spr_sprani_sumo_fe_cvt_Exst/9AC75730_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
195,textures/load/spr_sprani_sumo_fe_cvt_Exst/9CE4E175_256x32.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
196,textures/load/spr_sprani_sumo_fe_cvt_Exst/9EF903AF_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
197,textures/load/spr_sprani_sumo_fe_cvt_Exst/9F060EC1_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
198,textures/load/spr_sprani_sumo_fe_cvt_Exst/9FC88069_1024x512.dds,localize_text,pending_artwork,pending_transcription,
201,textures/load/spr_sprani_sumo_fe_cvt_Exst/A9ABD877_512x512.dds,localize_text,pending_artwork,pending_transcription,
202,textures/load/spr_sprani_sumo_fe_cvt_Exst/AB56F682_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
205,textures/load/spr_sprani_sumo_fe_cvt_Exst/ACF61D7C_1024x512.dds,localize_text,pending_artwork,pending_transcription,
206,textures/load/spr_sprani_sumo_fe_cvt_Exst/AEA507A4_512x256.dds,zoom_review,blocked_review,needs_zoom_review,
209,textures/load/spr_sprani_sumo_fe_cvt_Exst/B3D9B074_256x512.dds,localize_text,pending_artwork,pending_transcription,
210,textures/load/spr_sprani_sumo_fe_cvt_Exst/B5BB7AB0_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
212,textures/load/spr_sprani_sumo_fe_cvt_Exst/BA0147DA_512x512.dds,localize_text,pending_artwork,pending_transcription,
214,textures/load/spr_sprani_sumo_fe_cvt_Exst/BF229CF4_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
215,textures/load/spr_sprani_sumo_fe_cvt_Exst/C05E67EF_128x64.dds,localize_text,pending_artwork,pending_transcription,
217,textures/load/spr_sprani_sumo_fe_cvt_Exst/D1039D6F_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
219,textures/load/spr_sprani_sumo_fe_cvt_Exst/D263B3F1_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
220,textures/load/spr_sprani_sumo_fe_cvt_Exst/D657C2EB_512x128.dds,localize_text,pending_artwork,pending_transcription,
222,textures/load/spr_sprani_sumo_fe_cvt_Exst/DDF0392A_256x512.dds,localize_text,pending_artwork,pending_transcription,
225,textures/load/spr_sprani_sumo_fe_cvt_Exst/E3C455FA_512x256.dds,localize_text,pending_artwork,pending_transcription,
226,textures/load/spr_sprani_sumo_fe_cvt_Exst/E3F4BA07_512x128.dds,localize_text,pending_artwork,pending_transcription,
227,textures/load/spr_sprani_sumo_fe_cvt_Exst/E596B7AC_512x512.dds,localize_text,pending_artwork,pending_transcription,
228,textures/load/spr_sprani_sumo_fe_cvt_Exst/E7F6E9B7_512x512.dds,localize_text,pending_artwork,pending_transcription,
230,textures/load/spr_sprani_sumo_fe_cvt_Exst/E95DA5_512x256.dds,localize_text,pending_artwork,pending_transcription,
231,textures/load/spr_sprani_sumo_fe_cvt_Exst/EBE401C8_512x256.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
232,textures/load/spr_sprani_sumo_fe_cvt_Exst/EBFC709F_512x256.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
236,textures/load/spr_sprani_sumo_fe_cvt_Exst/FEF70E85_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
237,textures/load/spr_sprani_sumo_fe_cvt_Exst/FF514CEB_512x512.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
238,textures/load/spr_sprani_sumo_loading_Exst/132A1B1F_512x512.dds,zoom_review,blocked_review,needs_zoom_review,
241,textures/load/spr_sprani_sumo_loading_Exst/E1639D2E_256x64.dds,localize_text,pending_artwork,transcribed_reviewed,pass1 transcription saved
