index,path,text_detected,action,review_status,notes
67,textures/load/spr_sprani_meter_246gts_xst/FDFBF3EF_128x128.dds,no,no_localization,visual_reviewed,
68,textures/load/spr_sprani_meter_250gto_xst/20AD5E31_128x128.dds,no,no_localization,visual_reviewed,
69,textures/load/spr_sprani_meter_250gto_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
70,textures/load/spr_sprani_meter_288gts_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
71,textures/load/spr_sprani_meter_288gts_xst/A0052140_128x128.dds,no,no_localization,visual_reviewed,
72,textures/load/spr_sprani_meter_360_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
73,textures/load/spr_sprani_meter_360_xst/BFC0209C_128x128.dds,no,no_localization,visual_reviewed,
74,textures/load/spr_sprani_meter_365gts_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
75,textures/load/spr_sprani_meter_365gts_xst/B3F8B690_128x128.dds,no,no_localization,visual_reviewed,
76,textures/load/spr_sprani_meter_512bb_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
77,textures/load/spr_sprani_meter_512bb_xst/F7F2DB14_128x128.dds,no,no_localization,visual_reviewed,
78,textures/load/spr_sprani_meter_f40_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
79,textures/load/spr_sprani_meter_f40_xst/A2AA1243_128x128.dds,no,no_localization,visual_reviewed,
80,textures/load/spr_sprani_meter_f50_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
81,textures/load/spr_sprani_meter_f50_xst/A2721BAF_128x128.dds,no,no_localization,visual_reviewed,
82,textures/load/spr_sprani_meter_fx_xst/47C5F466_128x128.dds,no,no_localization,visual_reviewed,
83,textures/load/spr_sprani_meter_fx_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
84,textures/load/spr_sprani_meter_testa_xst/1C5326FF_128x128.dds,no,no_localization,visual_reviewed,
85,textures/load/spr_sprani_meter_testa_xst/8C5703DB_16x128.dds,no,no_localization,visual_reviewed,
86,textures/load/spr_sprani_ranking_cvt_Exst/C598919A_1024x1024.dds,yes,localize_text,visual_reviewed,
87,textures/load/spr_sprani_route_cvt_Exst/12F109E3_32x256.dds,no,no_localization,visual_reviewed,
88,textures/load/spr_sprani_route_cvt_Exst/415BC49F_64x64.dds,no,no_localization,visual_reviewed,
89,textures/load/spr_sprani_route_cvt_Exst/43B07A77_512x64.dds,yes,localize_text,visual_reviewed,
90,textures/load/spr_sprani_route_cvt_Exst/688343E7_512x512.dds,no,no_localization,visual_reviewed,
91,textures/load/spr_sprani_selector_cvt_Exst/12CE418E_256x64.dds,yes_preserve,preserve_brand_song_credit,visual_reviewed,
92,textures/load/spr_sprani_selector_cvt_Exst/1A43E9D9_512x64.dds,yes,localize_text,visual_reviewed,
93,textures/load/spr_sprani_selector_cvt_Exst/242309DA_128x512.dds,no,no_localization,visual_reviewed,
94,textures/load/spr_sprani_selector_cvt_Exst/2DA43E41_1024x1024.dds,yes,localize_text,visual_reviewed,
95,textures/load/spr_sprani_selector_cvt_Exst/37759842_1024x1024.dds,yes,localize_text,visual_reviewed,
96,textures/load/spr_sprani_selector_cvt_Exst/38F794DB_512x64.dds,yes,localize_text,visual_reviewed,
97,textures/load/spr_sprani_selector_cvt_Exst/411827E_512x512.dds,yes,localize_text,visual_reviewed,
98,textures/load/spr_sprani_selector_cvt_Exst/42E618FD_512x32.dds,yes,localize_text,visual_reviewed,
99,textures/load/spr_sprani_selector_cvt_Exst/4F68708E_512x64.dds,yes,localize_text,visual_reviewed,
100,textures/load/spr_sprani_selector_cvt_Exst/53CE39D5_512x512.dds,yes,localize_text,visual_reviewed,
101,textures/load/spr_sprani_selector_cvt_Exst/560FA536_1024x1024.dds,yes,localize_text,visual_reviewed,
102,textures/load/spr_sprani_selector_cvt_Exst/571E78F3_512x64.dds,yes,localize_text,visual_reviewed,
